LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID261121,261121,1,10.830568313598633,12.227999673119333,31.357816785899384,0.0,0.0,0,0.25,1,,20.672131147540984,21.0,14.0,28.0,1261.0,2.59307611069305,143.18032786885246,140.0,113.0,188.0,8734.0,18.359836779159476,57.557377049180324,58.0,28.0,96.0,3511.0,19.128098520382636,,,-0.014051595075944357,-0.22723300962622678,-0.11523580719169052,-2.0314420714652854,0.5180613969576667,2.0537665954925877
ID262084,262084,1,9.651924133300781,12.259031665381716,31.380460519755076,0.0,3.001677989959717,1,0.25,1,,21.34426229508197,21.0,14.0,28.0,1302.0,3.4490831917174716,145.24590163934425,146.0,109.0,184.0,8860.0,16.926956546393605,55.52459016393443,54.0,25.0,98.0,3387.0,17.204269390064248,,,0.011387108733647613,0.13934889497584926,-0.11431250678027816,-2.214971995794494,0.4891928891908906,2.120353662884818
ID261703,261703,1,11.496712684631348,12.244579197651241,31.40178682690908,0.0,6.003355979919434,2,0.25,1,,20.065573770491802,20.0,12.0,28.0,1224.0,3.086901642202726,156.88524590163934,158.0,103.0,211.0,9570.0,20.626114806765187,60.721311475409834,58.0,29.0,108.0,3704.0,21.37064275085566,,,-0.029735256231252245,-0.3984191650774905,-0.0768185999961085,-1.2658259941234935,0.5501869653356161,2.016878659013
ID260440,260440,1,12.582135200500488,12.250908777297177,31.342746066257913,0.0,9.00503396987915,3,0.25,1,,20.688524590163933,19.0,12.0,29.0,1262.0,3.8666996418416795,150.672131147541,149.0,118.0,194.0,9191.0,16.731926877953423,64.27868852459017,59.0,31.0,122.0,3921.0,22.637086935337614,,,-0.028523816501081437,-0.3141915879885919,-0.0773564722010471,-1.5100095187332874,0.5528118861339687,2.0217850918256386
ID262217,262217,1,10.664043426513672,12.255083010560265,31.341443838116863,0.0,12.006711959838867,4,0.25,1,,21.75409836065574,22.0,14.0,33.0,1327.0,3.7401236062681047,150.47540983606558,149.0,116.0,194.0,9179.0,16.358083177618997,53.885245901639344,48.0,24.0,100.0,3287.0,21.075339744715652,,,0.009587868622857048,0.11047476320145722,-0.0893240918700885,-1.8045456808863858,0.5338758129903463,1.7798169024081576
ID261957,261957,1,10.997462272644043,12.334123609198421,31.438471959151645,0.0,15.008389949798584,5,0.25,1,,22.62295081967213,22.0,16.0,30.0,1380.0,3.3023422719146347,160.11475409836066,155.0,122.0,204.0,9767.0,20.843143045660312,54.91803278688525,54.0,24.0,116.0,3350.0,23.293271619337638,,,0.013831232663999372,0.1869185416484504,-0.07763465577208076,-1.2931556272859261,0.5604013746141011,1.693469364133746
ID262342,262342,1,11.86343002319336,12.31747055597623,31.416943279443398,0.0,18.0100679397583,6,0.25,1,,22.40983606557377,22.0,17.0,30.0,1367.0,3.29836853196813,160.49180327868854,157.0,124.0,208.0,9790.0,21.38817660205413,58.90163934426229,53.0,24.0,113.0,3593.0,23.602051406627623,,,-0.0031427322503993034,-0.042839451290265305,-0.07764170825569121,-1.263294242440476,0.546725760255159,1.7642651052020744
