LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID145940,145940,1,43.59400558,19.18555828,17.08036907,0,0,0,0.25,1,,41.90163934,42,20,64,2556,11.96063671,42.45901639,42,27,63,2590,8.133416196,182.704918,162,62,408,11145,91.52656158,,,0.094761229,0.6064821,-0.013284211,-0.140562871,0.661594683,1.589644451
ID145786,145786,1,48.61783981,19.223723,17.01916546,0,3,1,0.25,1,,34.95081967,34,19,54,2132,10.53949118,41.73770492,42,31,53,2546,5.072480128,207.7377049,182,73,418,12672,94.87744756,,,0.035375533,0.226606734,-0.004010887,-0.066271076,0.665959156,1.750513954
ID148141,148141,1,61.89568329,19.11812963,16.93867246,0,6,2,0.25,1,,39.19672131,40,21,59,2391,11.46853619,38.47540984,38,32,53,2347,4.897640784,250.1803279,212,77,541,15261,128.8146612,,,0.073162521,0.466009654,-0.039593026,-0.647723583,0.692495375,1.589304979
ID147612,147612,1,57.77225494,19.18910489,17.01357828,0,9,3,0.25,1,,40.52459016,41,21,58,2472,10.99788852,39.27868852,39,30,49,2396,4.465165721,237.6229508,201,82,507,14495,117.4102727,,,0.097337946,0.653703925,-0.045162196,-0.832137011,0.694774282,1.65937351
ID148292,148292,1,53.84256363,19.17708333,17.03175214,0,12,4,0.25,1,,43.86885246,43,23,66,2676,12.72068579,40.95081967,39,31,58,2498,6.972388949,228.4590164,207,94,483,13936,105.1913453,,,0.125012988,0.766431499,-0.016018173,-0.191221581,0.676840801,1.753286896
ID146216,146216,1,63.63463593,19.14832732,16.94093694,0,15,5,0.25,1,,38.93442623,38,22,63,2375,11.84042349,40.60655738,40,32,48,2477,3.479840459,262.1311475,218,86,576,15990,131.6114832,,,0.098990664,0.592375069,-0.025116088,-0.601264996,0.696233706,1.635024243
ID147451,147451,1,47.96426773,19.16578169,16.97815361,0,18,6,0.25,1,,39.21311475,38,20,59,2392,11.92492453,38.98360656,39,31,49,2378,3.930614046,209.0163934,195,93,417,12750,89.54896087,,,0.090328011,0.544842497,-0.049056106,-1.023268938,0.660474419,1.856836254
ID147880,147880,1,38.54460144,19.23009956,17.11299718,0,21,7,0.25,1,,44.90163934,45,24,66,2739,11.84441488,42.01639344,41,26,58,2563,8.881613598,181.6393443,172,88,304,11080,65.94822029,,,0.138987664,0.925200412,-0.02774901,-0.270038688,0.600245525,2.066232321
ID147750,147750,1,38.45391846,19.4990867,17.21866768,0,24,8,0.25,1,,34.39344262,31,21,56,2098,10.08840702,49.49180328,49,36,65,3019,6.49261876,169.7704918,155,75,325,10356,74.47648252,,,0.056113766,0.362277835,0.033307955,0.491429889,0.637794823,1.775393155
ID146363,146363,1,55.74961853,19.32323701,17.01969815,0,27,9,0.25,1,,37.32786885,38,20,64,2277,12.30409324,40.85245902,39,29,58,2492,7.465110103,228.7704918,204,78,473,13955,112.8362225,,,0.049163161,0.284321919,-0.027258765,-0.306704979,0.689774172,1.655235239
ID148441,148441,1,65.96839905,19.32578905,16.99186025,0,30,10,0.25,1,,34.90163934,36,18,56,2129,11.2615939,43.1147541,42,33,56,2630,5.553072305,266.3770492,237,86,599,16249,140.5912709,,,0.053391508,0.314165385,0.001332572,0.020664975,0.706788003,1.569199027
ID146495,146495,1,70.47904968,19.33465901,16.97636791,0,33,11,0.25,1,,36.52459016,34,19,60,2228,11.48420155,42.3442623,40,33,60,2583,6.635473472,285.3934426,263,91,565,17409,143.9899625,,,0.063999577,0.3826046,0.005436249,0.069007684,0.691754531,1.620900781
ID147046,147046,1,44.88653946,19.19296082,17.00765288,0,36,12,0.25,1,,45.14754098,49,22,62,2754,11.83896964,39.24590164,38,26,61,2394,6.692422924,205.3278689,188,77,378,12525,79.96305841,,,0.1371715,0.920000599,-0.041206956,-0.504065057,0.630884109,1.986620836
ID146617,146617,1,21.47987175,19.10829364,16.70130252,0,39,13,0.25,1,,26.21311475,22,14,48,1599,9.37036953,43.93442623,44,34,59,2680,6.136961388,120.4098361,110,68,214,7345,38.63218738,,,-0.053785711,-0.318030901,0.028016098,0.39020182,0.458702884,1.960231171
ID146911,146911,1,42.73723984,19.08001693,16.85910017,0,42,14,0.25,1,,37.01639344,32,21,64,2258,12.59165306,37.40983607,37,29,49,2282,4.026483367,197.5081967,177,77,374,12048,82.26413211,,,0.04397807,0.247677263,-0.052174621,-1.022870989,0.601745836,1.803948311
ID146768,146768,1,30.4811058,19.01384023,16.84562965,0,45,15,0.25,1,,39.39344262,36,20,67,2403,13.4440553,38.18032787,37,30,48,2329,4.748712797,151.8032787,145,54,289,9260,58.03039998,,,0.082706767,0.447665715,-0.039676506,-0.664369386,0.562128431,1.882670848
ID148023,148023,1,29.68783188,18.98348743,16.62998455,0,48,16,0.25,1,,29.18032787,26,18,53,1780,8.501976626,42.24590164,40,34,56,2577,6.381368029,147.7377049,136,67,276,9012,55.41176218,,,-0.007945179,-0.054975381,-0.001257369,-0.01666901,0.559946242,1.914062365
ID147301,147301,1,31.51958847,18.93397577,16.70110037,0,51,17,0.25,1,,32.2295082,30,19,53,1966,10.2784458,42.62295082,43,28,57,2600,7.009907119,150.6229508,141,68,264,9188,56.62836861,,,0.032997674,0.200327335,-0.020778498,-0.258044412,0.576329633,1.944961492
ID146089,146089,1,23.55129623,19.05397593,16.81804609,0,54,18,0.25,1,,39.42622951,39,21,61,2405,12.09057349,38.40983607,38,29,49,2343,4.656096538,117.9344262,114,40,211,7194,44.21646332,,,0.093790578,0.559233753,-0.041532923,-0.714933694,0.543090095,1.877444858
ID147172,147172,1,26.08107567,18.89486443,16.77110418,0,57,19,0.25,1,,35.60655738,34,19,56,2172,9.26153099,40.32786885,40,33,48,2460,3.181830246,129.5081967,123,44,250,7900,47.52319537,,,0.049641262,0.36364625,-0.032463513,-0.850523707,0.553033688,1.940851593
ID146004,146004,2,58.45087814,16.7561693,23.84224498,0,0,0,0.25,1,,14.95081967,16,8,21,912,2.807289496,85.78688525,86,68,105,5233,8.816867838,225.3278689,184,50,558,13745,130.9253886,,,-8.84E-04,-0.009422988,0.010051072,0.193644707,0.733302476,1.456229509
ID145835,145835,2,42.82435226,16.82945279,23.65175081,0,3,1,0.25,1,,14,14,10,21,854,2.183269719,94.1147541,92,68,120,5741,12.24486064,168.8852459,128,60,373,10302,93.88061539,,,0.003665988,0.046843835,0.017169497,0.259476542,0.669369997,1.442644807
ID148197,148197,2,44.0353508,16.75368406,23.63308754,0,6,2,0.25,1,,13.24590164,13,10,17,808,1.840794554,91.60655738,90,74,118,5588,10.67907407,178,152,55,418,10858,98.10827352,,,-0.061156719,-0.937469782,-0.003499699,-0.06025266,0.670158603,1.456009629
ID147664,147664,2,47.3346405,16.83701789,23.64498491,0,9,3,0.25,1,,13.21311475,13,9,19,806,2.137870857,84.85245902,85,66,107,5176,9.773835933,191.852459,158,70,451,11703,104.249674,,,-0.045653315,-0.591316341,-0.016981525,-0.299946911,0.681825234,1.492158186
ID148361,148361,2,54.89925003,16.96325101,23.6619867,0,12,4,0.25,1,,12.72131148,12,8,19,776,3.093709465,87.98360656,88,73,108,5367,6.357388886,217.9508197,192,70,492,13295,117.5572805,,,-0.066899869,-0.589629728,-0.013973181,-0.392246914,0.704051485,1.532006747
ID146273,146273,2,60.30550003,17.03387073,23.71096088,0,15,5,0.25,1,,13.50819672,13,10,20,824,2.046321503,88,89,62,107,5368,9.577751998,240.6885246,223,84,500,14682,123.1049066,,,-0.040665734,-0.5596444,-0.00222258,-0.04093293,0.705664333,1.617761949
ID147510,147510,2,45.21664047,17.2985112,23.67578804,0,18,6,0.25,1,,13.83606557,14,10,17,844,1.665135909,92.81967213,93,73,109,5662,8.005223704,200.9344262,197,81,396,12257,85.2664195,,,0.01271484,0.208649161,0.027397098,0.618390458,0.629305924,1.820394454
ID147933,147933,2,52.3264389,17.21877041,23.45569799,0,21,7,0.25,1,,12.96721311,13,9,16,791,1.413827112,96.47540984,95,80,118,5885,8.009591245,225.8032787,206,79,452,13774,103.5546264,,,-0.01717626,-0.320577691,0.020944563,0.494203045,0.646615563,1.712555561
ID147798,147798,2,54.23551559,17.26409082,23.74066335,0,24,8,0.25,1,,14.01639344,14,11,17,855,1.91042581,83.31147541,84,67,95,5082,7.265307939,226.4918033,201,68,487,13816,114.6379261,,,0.003026142,0.044270372,-0.012897864,-0.299665337,0.664805104,1.577920473
ID146410,146410,2,49.36522293,17.6349974,23.76665654,0,27,9,0.25,1,,13.1147541,13,8,16,800,2.106326666,86.57377049,88,58,98,5281,8.515591615,211.6229508,196,82,417,12909,97.00621354,,,-0.062127399,-0.824904635,0.023372422,0.464377872,0.642019814,1.705938013
ID148492,148492,2,43.21735382,17.69455401,23.81526957,0,30,10,0.25,1,,13.50819672,13,9,18,824,1.849531029,81.32786885,83,52,104,4961,10.17467659,213.295082,207,48,425,13011,88.74745898,,,-0.021113451,-0.315059526,-0.002066988,-0.033111998,0.565568562,1.736473176
ID146536,146536,2,32.95086288,17.40557608,23.92558912,0,33,11,0.25,1,,14.36065574,14,11,19,876,1.906417118,81.83606557,84,59,98,4992,9.687070985,158.8032787,147,64,294,9687,60.38317085,,,-0.017211046,-0.263835559,5.26E-04,0.008884582,0.57039365,1.910467689
ID147093,147093,2,52.14697266,17.37478995,24.17740455,0,36,12,0.25,1,,14.39344262,14,10,21,878,2.505185878,74.81967213,76,55,91,4564,7.072265542,229.852459,208,93,447,14021,97.55730556,,,-0.038478769,-0.459850877,-0.028253645,-0.615189346,0.652634177,1.860854581
ID146678,146678,2,32.78009033,17.28186915,24.12672155,0,39,13,0.25,1,,15.73770492,16,9,24,960,3.820565575,73.50819672,73,57,90,4484,8.129417673,158.6229508,157,70,280,9676,57.92442315,,,0.005962782,0.048832706,-0.029465279,-0.549042301,0.582424526,2.015816298
