LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID97451,97451,0,166.2032013,13.53806334,16.49501992,0,0,0,0.25,1,,45.19672131,43,22,83,2757,16.93696123,30.90163934,30,18,43,1885,5.476327596,641.6557377,566,119,1371,39141,341.3683194,,,0.039913589,0.204844809,0.025423873,0.279808163,0.754813927,1.617028579
ID96277,96277,0,168.2732391,13.47998404,16.45418823,0,3,1,0.25,1,,42.85245902,40,20,71,2614,15.34148631,31.93442623,32,19,42,1948,5.059212233,646.6557377,591,192,1494,39446,349.6634518,,,0.037344857,0.201115687,0.020838203,0.257697118,0.754705102,1.590838298
ID97972,97972,0,162.6752777,13.47772344,16.38083802,0,6,2,0.25,1,,38.57377049,37,17,68,2353,14.56303427,32.91803279,33,22,41,2008,4.960830179,640.9672131,575,196,1365,39099,327.6720905,,,0.01898566,0.098702429,0.025449966,0.329368638,0.746663814,1.672407629
ID95614,95614,0,164.4580841,13.47252522,16.37410288,0,9,3,0.25,1,,40.39344262,37,20,71,2464,14.81809557,34.52459016,34,19,46,2106,6.823016335,641.4262295,579,196,1415,39127,335.9133549,,,0.032176987,0.16995724,0.056263314,0.539057665,0.747119531,1.633115542
ID98134,98134,0,165.4714355,13.44534667,16.3683044,0,12,4,0.25,1,,40.80327869,37,19,74,2489,15.67250211,31.40983607,32,20,39,1916,5.447865176,646.3606557,561,207,1424,39428,340.7269206,,,0.030890425,0.156026404,0.018810236,0.212897351,0.759668623,1.637916504
ID97097,97097,0,160.5092773,13.46042272,16.36725994,0,15,5,0.25,1,,42.32786885,39,19,72,2582,15.92767122,30.32786885,31,20,41,1850,4.962261956,624.3278689,534,192,1400,38084,332.0094236,,,0.027141385,0.140444873,0.025032386,0.298508615,0.758209889,1.621851297
ID96593,96593,0,163.2307739,13.45399862,16.34885535,0,18,6,0.25,1,,40.14754098,37,21,77,2449,15.09948792,31.29508197,32,19,45,1909,5.947952763,636.2459016,587,156,1411,38811,337.0124951,,,0.028677257,0.148246754,0.017074651,0.176659739,0.757926416,1.627928558
ID96926,96926,0,167.5150604,13.4603553,16.37338015,0,21,7,0.25,1,,39.3442623,32,18,81,2400,17.14437249,33.13114754,35,14,44,2021,6.8055747,639.1147541,554,216,1440,38986,339.6349559,,,0.017380246,0.07840837,0.047147176,0.438378888,0.76405403,1.630078971
ID95449,95449,0,165.2038727,13.4470935,16.34765914,0,24,8,0.25,1,,38.8852459,35,16,71,2372,16.02716274,32,32,22,42,1952,5.173651193,663.0163934,620,170,1382,40444,336.7731428,,,0.002255526,0.010920126,0.023441759,0.283341307,0.744338092,1.680182251
ID97807,97807,0,159.9982147,13.45747143,16.3893521,0,27,9,0.25,1,,40.44262295,37,16,72,2467,16.80627322,29.24590164,30,19,37,1784,4.157947161,630,542,188,1364,38430,321.1484081,,,0.032560009,0.15176342,0.00944068,0.131564443,0.756028032,1.6891617
ID97265,97265,0,167.4316559,13.46267543,16.3917535,0,30,10,0.25,1,,39.45901639,39,20,75,2407,16.31111459,31.86885246,33,16,44,1944,5.945517667,653.3934426,566,173,1503,39857,346.4383196,,,-0.003459166,-0.01679457,0.029733842,0.309551409,0.758122426,1.626556201
ID95108,95108,0,167.8652039,13.47791299,16.35768281,0,33,11,0.25,1,,42.32786885,41,18,74,2582,16.78463713,30.37704918,31,23,39,1853,4.590439102,658.4754098,524,134,1443,40167,356.269636,,,0.024598554,0.121087772,0.014840101,0.193535476,0.755154285,1.590417476
