LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
ID673065,673065,0,2.103433847,13.61841194,10.59567626,0,0,0,0.25,1,,12.26229508,12,9,15,748,1.526451652,45.03278689,44,33,63,2747,6.115464586,16.7704918,16,8,34,1023,6.20589355,,,-0.049719928,-0.840615857,-0.029166842,-0.442460166,0.247349224,1.071751162
ID672054,672054,0,2.199420452,13.54843905,10.62051118,0,3,1,0.25,1,,11.93442623,13,7,15,728,1.740391263,44.78688525,44,33,59,2732,5.562118164,17.21311475,17,7,30,1050,5.796880638,,,-0.043824463,-0.628584437,-0.019437621,-0.319233555,0.255622444,1.209024256
ID671314,671314,0,2.785388947,13.50906338,10.6149043,0,6,2,0.25,1,,14.08196721,14,11,19,859,2.002457507,44.86885246,44,35,59,2737,6.192671502,18.18032787,16,9,36,1109,7.288136929,,,0.015659745,0.216853511,-0.035132558,-0.527641613,0.306885481,1.171531558
ID672978,672978,0,2.912212849,13.38413381,10.78889075,0,9,3,0.25,1,,11.50819672,12,9,16,702,1.397890683,52.42622951,54,41,66,3198,7.039079051,19.27868852,17,11,32,1176,6.293200425,,,-0.025630511,-0.433109434,0.029110859,0.421362257,0.315377722,1.468981916
ID672267,672267,0,2.254153013,13.5240968,10.75259906,0,12,4,0.25,1,,12.19672131,12,8,17,744,2.227252958,50.13114754,50,38,63,3058,4.903996363,17.32786885,16,9,28,1057,4.952175655,,,-0.036010469,-0.409128757,0.003644731,0.074245994,0.280929823,1.53479938
ID671841,671841,0,2.258340836,13.74674092,10.82169712,0,18,6,0.25,1,,13.29508197,13,9,18,811,2.616258539,42.83606557,41,33,62,2613,5.553318311,17.37704918,17,9,31,1060,6.044733064,,,0.006004905,0.060666149,-0.033947171,-0.542112871,0.26761951,1.213829689
ID672699,672699,0,2.369978905,13.50357133,10.73444735,0,21,7,0.25,1,,12.03278689,12,9,17,734,1.722084136,47.93442623,46,38,66,2924,6.569801754,17.8852459,16,10,31,1091,5.851206031,,,-0.032930837,-0.475868644,-0.009366879,-0.137977202,0.261947246,1.268972343
ID671951,671951,0,2.384808779,13.51144698,10.73368519,0,24,8,0.25,1,,11.63934426,12,7,18,710,2.645957841,49.67213115,49,38,64,3030,7.350105014,17.26229508,16,7,31,1053,5.810627159,,,-0.044202572,-0.406871497,0.007914495,0.106132592,0.284863023,1.317300238
ID672889,672889,0,2.501636982,13.31953108,11.11339474,0,27,9,0.25,1,,12.39344262,12,9,16,756,1.625614638,56.90163934,57,48,66,3471,4.628552394,18.03278689,16,11,34,1100,5.944092903,,,-0.021477976,-0.334677952,0.03363087,0.799985696,0.300520275,1.402051311
ID671760,671760,0,2.904587984,13.44255955,10.94862174,0,30,10,0.25,1,,11.90163934,12,9,16,726,1.650302175,53.52459016,52,42,68,3265,6.326153537,19.70491803,18,11,39,1202,7.074235559,,,-0.033745846,-0.503735143,0.0257701,0.425118182,0.325696525,1.368655409
