LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,
ID404734,404734,0,4.081968307495117,19.21820559588131,34.67349318935599,0.0,27.01510190963745,9,0.25,1,,28.459016393442624,28.0,16.0,39.0,1736.0,4.7172512140433485,24.901639344262296,21.0,10.0,47.0,1519.0,10.732668071566652,2.9344262295081966,3.0,0.0,5.0,179.0,1.4008194323206722,,,-0.01690056099244339,-0.2074266478843465,0.3444472103414374,1.1888557257742827,-0.014822690599787402,-0.06303527862459193
ID405509,405509,0,6.287363052368164,19.121148935770385,34.756645892214756,0.0,30.016779899597168,10,0.25,1,,28.360655737704917,28.0,21.0,37.0,1730.0,3.454623891179499,33.9344262295082,30.0,15.0,64.0,2070.0,14.30136223401931,3.262295081967213,3.0,0.0,6.0,199.0,1.611434550788647,,,-0.041895064098126454,-0.7179517745873486,0.429765590967423,1.4264609892818512,0.05142445438443752,0.19803054590657648
ID405842,405842,0,4.280147075653076,19.028732399230567,34.937672129427476,0.0,33.018457889556885,11,0.25,1,,28.065573770491802,27.0,22.0,40.0,1712.0,4.675713323330165,27.704918032786885,25.0,14.0,51.0,1690.0,10.12479507989352,2.737704918032787,3.0,0.0,5.0,167.0,1.289723993008612,,,-0.04995499053303505,-0.6312345261474532,0.3593590757235763,1.446755192118195,-0.0750251762336354,-0.34434752411590525
ID404911,404911,0,4.599885940551758,19.104134922539625,35.04904168881228,0.0,36.0201358795166,12,0.25,1,,28.524590163934427,28.0,18.0,37.0,1740.0,5.204506244198544,28.39344262295082,24.0,14.0,53.0,1732.0,11.21498801979534,3.0163934426229506,3.0,0.0,6.0,184.0,1.5109798507225762,,,-0.04956984842277754,-0.5716987734201027,0.35569159474947015,1.3285011463975267,0.016159904609495096,0.06349449142060073
ID405427,405427,0,4.157321453094482,19.13071482248974,35.31163361762097,0.0,39.02181386947632,13,0.25,1,,30.442622950819672,30.0,23.0,48.0,1857.0,4.866636724213601,26.442622950819672,25.0,12.0,51.0,1613.0,10.479383872098488,3.6885245901639343,3.0,0.0,7.0,225.0,1.821546811609641,,,-0.04039601809210771,-0.5266591719513053,0.3606105992163817,1.337529644705774,0.08724003020111193,0.32496210215424154
ID405596,405596,0,2.782106637954712,19.36698954818558,35.25799516226519,0.0,42.023491859436035,14,0.25,1,,36.73770491803279,37.0,26.0,49.0,2241.0,6.653073573780925,23.83606557377049,22.0,16.0,40.0,1454.0,6.671282555023565,4.0,4.0,2.0,6.0,244.0,1.0165300454651272,,,0.037369019063249596,0.39783053618322295,0.25656877139055156,1.4590586991654384,0.0855821125674634,0.620426145784251
ID405083,405083,0,2.9193806648254395,19.31521623805118,35.20224318548278,0.0,45.02516984939575,15,0.25,1,,34.0,32.0,21.0,55.0,2074.0,7.628892449104261,24.491803278688526,25.0,12.0,36.0,1494.0,6.057015081208654,3.8688524590163933,4.0,1.0,7.0,236.0,1.4545951307960303,,,0.012264230736699603,0.10799256141831784,0.27728594224757913,1.7556252693219376,0.09655873384637721,0.4684138181072569
ID405246,405246,0,4.374844074249268,19.580171432893973,35.28872882629022,0.0,48.02684783935547,16,0.25,1,,40.14754098360656,40.0,25.0,59.0,2449.0,7.930607512613753,28.016393442622952,26.0,12.0,50.0,1709.0,9.037868117498155,3.9672131147540983,4.0,2.0,8.0,242.0,1.4828712364278755,,,0.05172054095930613,0.49790351381814013,0.38277189716006393,1.7161914096102986,0.09506485492807468,0.4645069692661139
ID405672,405672,0,4.0786452293396,19.677954023553237,35.47183294649048,0.0,51.028525829315186,17,0.25,1,,40.50819672131148,42.0,23.0,57.0,2471.0,6.9297016550009145,26.42622950819672,24.0,12.0,54.0,1612.0,9.616754505191174,3.459016393442623,3.0,0.0,6.0,211.0,1.1485319686713602,,,-0.001579488686453058,-0.01849530058190337,0.3430567094372134,1.40380968831771,0.0268065751455076,0.15725056634031837
ID406360,406360,0,5.064414978027344,19.6750661947742,35.51023639975248,0.0,54.0302038192749,18,0.25,1,,46.16393442622951,44.0,35.0,63.0,2816.0,7.255297668758676,30.901639344262296,28.0,17.0,62.0,1885.0,12.027336804176262,3.9672131147540983,4.0,2.0,6.0,242.0,0.9994534025281696,,,0.03568245529897678,0.43843547515249,0.40268393948874925,1.4751851323404053,0.1205472244146277,0.8540435691734778
