LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID36400,36400,0,6.000517845153809,11.709097345650465,24.682594361584833,0.0,0.0,0,0.25,1,,63.278688524590166,64.0,51.0,73.0,3860.0,5.7998021447315535,44.9344262295082,42.0,23.0,85.0,2741.0,16.00090502904864,,,0.05840086995266984,1.2040469320973433,0.2564618125371144,1.1464049755496708
ID32803,32803,0,7.07882022857666,11.53636613885479,24.638635449133584,0.0,3.001677989959717,1,0.25,1,,63.98360655737705,62.0,49.0,84.0,3903.0,10.039076656211448,45.0655737704918,39.0,22.0,105.0,2749.0,20.279602932058783,,,0.04680963897283043,0.5699969346755522,0.30126152633794273,1.0289506261062569
ID33651,33651,0,6.350954532623291,11.514867672259586,24.53711977099861,0.0,6.003355979919434,2,0.25,1,,57.34426229508197,55.0,41.0,80.0,3498.0,9.005341462897892,45.98360655737705,39.0,25.0,93.0,2805.0,16.77348284572874,,,0.01808632553401545,0.226248401757788,0.2805445063660192,1.201204274029495
ID34195,34195,0,5.056513786315918,11.383361779592528,24.609175383347036,0.0,9.00503396987915,3,0.25,1,,60.80327868852459,59.0,41.0,91.0,3709.0,12.605315905245623,42.09836065573771,37.0,25.0,93.0,2568.0,15.91509233194788,,,0.0020308199569890194,0.019552108694384226,0.26316848562764633,1.1021954574970776
ID31952,31952,0,5.568687438964844,11.34396060165414,24.77949181075194,0.0,12.006711959838867,4,0.25,1,,68.54098360655738,69.0,37.0,96.0,4181.0,12.325547682884528,41.868852459016395,39.0,18.0,89.0,2554.0,15.937874607190745,,,0.05612857437080953,0.5910732712098509,0.27215712911077156,1.1240085297438898
ID33935,33935,0,6.2566022872924805,11.510489564247388,24.839392229335452,0.0,15.008389949798584,5,0.25,1,,67.60655737704919,68.0,45.0,90.0,4124.0,9.239911053909175,44.721311475409834,38.0,19.0,101.0,2728.0,19.044799069160575,,,0.08625959967763497,1.162050060069393,0.2717696061876287,1.0035998206410972
ID35835,35835,0,6.2894392013549805,11.550184093540343,24.88158671544037,0.0,18.0100679397583,6,0.25,1,,65.06557377049181,65.0,45.0,89.0,3969.0,9.031184589076187,42.68852459016394,40.0,19.0,85.0,2604.0,17.741233500526917,,,0.09127038680247461,1.205130454518475,0.2624880687241489,1.0005518832519018
