Spot ID,track_id,Quality,X,Y,Z,T,Frame
200833,0,29.69819069,11.15881667,19.00970729,0,12,4
203527,0,28.2571373,10.97922385,18.85360094,0,123,41
200331,0,23.08315659,11.16471154,19.05108496,0,3,1
199947,0,24.41585541,11.2479555,19.10741202,0,0,0
202249,0,27.44816399,11.03538159,18.85683289,0,96,32
206344,0,17.28528023,10.87012818,18.81766965,0,210,70
199695,0,31.980896,11.14695317,19.02420285,0,15,5
199950,0,23.89724731,10.9523531,19.01310358,0,36,12
207886,0,13.96586323,10.87373583,18.8303252,0,267,89
202764,0,28.00901222,10.95046399,18.8675343,0,105,35
200723,0,28.99442482,10.96160046,18.85180955,0,54,18
206610,0,14.32602406,10.96840589,18.79902996,0,228,76
203666,0,20.4368248,11.01666398,18.81705305,0,120,40
206993,0,15.23192024,10.98918051,18.84404324,0,234,78
203927,0,24.12664604,11.03733157,18.77930193,0,147,49
204823,0,18.53188133,10.87221083,18.82085498,0,174,58
205974,0,15.66710758,10.94408678,18.83939667,0,198,66
205588,0,17.44845772,10.92496696,18.77919082,0,192,64
200987,0,27.38514519,11.12763389,18.97944708,0,21,7
205209,0,15.29177856,10.93469264,18.79913929,0,180,60
207384,0,10.79777908,10.9736686,18.782373,0,249,83
204312,0,22.11033058,10.92889814,18.83284009,0,156,52
200990,0,28.6299305,10.95371569,18.98364295,0,39,13
203166,0,23.98321915,10.94961476,18.81077892,0,111,37
202653,0,25.118536,10.98881312,18.81547616,0,90,30
200093,0,26.41425896,10.97620989,18.85903077,0,51,17
201117,0,28.81833267,11.14003245,19.00643248,0,24,8
200359,0,27.87695694,10.94578304,18.8872995,0,48,16
201510,0,26.43834877,11.0275496,18.79848785,0,66,22
203434,0,26.62239075,10.95877898,18.79683933,0,132,44
199594,0,21.132164,11.03901634,19.0120877,0,30,10
206248,0,13.80726147,10.87450583,18.75248685,0,216,72
207784,0,10.26228809,10.9270793,18.79552885,0,261,87
201903,0,28.00910187,10.94443162,18.83958673,0,75,25
204719,0,24.36693573,10.93699439,18.79789716,0,153,51
207283,0,15.39179993,10.95740627,18.85018613,0,243,81
203059,0,24.6785984,10.93387024,18.82053631,0,114,38
